,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Contract ID,Date From,Date To,Review Date, Value ,Category,Department,Type,Description,SuppID,Supplier,SupSize,Address 1,Adress 2,Address 3,POC
contract_id,date_from,date_to,review_date, contract_value ,contract_category,,contract_type,description,apar_id,supplier,supsize,add_1,add_2,add_3,poc
C040,09/05/2008,30/09/2017,30/09/2016, -   ,Street & Traffic Management,Direct Services,Tender,Provision of RingGo Mobile Phone based Parking Payments System Agreement,20014436,COBALT TELEPHONE TECHNOLOGIES,SME,INTEC 2,WADE ROAD,BASINGSTOKE,RG24 8NE
C047,01/09/2008,31/03/2019,01/09/2018," 500,000.00 ",Information Communication Technology,Business Improvement,Official Journal of the European Union,CRM,20014697,KANA SOFTWARE IRELAND LTD,SME,CONCOURSE II,QUEEN'S ROAD,QUEEN'S ISLAND,BT3 9EZ
C051,01/08/2011,29/10/2018,01/08/2016," 15,000.00 ",Information Communication Technology,Housing & Property,Tender,Planning Finder (Argent),20014674,PLANNINGFINDER LIMITED,SME,PROSPECT HOUSE,ROUEN ROAD,NORWICH,NR1 1RE
C054,28/11/2011,29/11/2018,01/07/2016," 720,000.00 ",Information Communication Technology,Business Improvement,Framework,Integrated Land & Property Management System,20013463,IDOX SOFTWARE LTD,SME,7TH FLOOR EAST,95 BOTHWELL STREET,GLASGOW,G2 7HX
C057,20/01/2011,31/03/2019,01/01/2018," 320,398.00 ",Information Communication Technology,Financial Services,Tender,"Housing Benefits, Council Tax, Business Rates & Income Management System (Academy) - Support & Maintenance",20011589,CAPITA BUSINESS SERVICES LTD,LGE,CAPITA BUSINESS SERVICES LTD,PO BOX 212,FAVERDALE INDUSTRIAL ESTATE,DL1 9HN
C060,01/09/2004,28/02/2019,31/12/2013," 650,000.00 ",Information Communication Technology,Business Improvement,Official Journal of the European Union,Servitor - Support and Maintenance,20010153,CIVICA UK LTD,LGE,CASTLEGATE HOUSE,CASTLEGATE DRIVE,DUDLEY,DY1 4TD
C068,01/01/2013,28/09/2018,01/01/2018," 53,150.00 ",Information Communication Technology,Business Improvement,Tender,CorVu Strategic Management,20014931,ROCKET SOFTWARE UK LTD,SME,4 THE SQUARE,STOCKLEY PARK,UXBRIDGE,UB11 1ET
C127,16/05/2011,31/12/2018,01/01/2018," 315,000.00 ",Financial Services,Financial Services,Official Journal of the European Union,Cash Collection,20016581,JADE SECURITY SERVICES LTD,SME,GREENWOOD,GROVELANDS AVENUE,WINNERSH,RG41 5JX
C147,30/03/2009,30/03/2024,29/03/2017, -   ,Arts & Leisure Services,Community Services,Tender,"Leisure Facilities Development, Management and Operations",20015211,FUSION LIFESTYLE,SME,4 BICKELS YARD,151 - 153 BERMONDSEY STREET,LONDON,SE1 3HA
C148,01/05/2013,30/04/2018,30/04/2017," 210,000.00 ",Construction,Direct Services,Tender,Boiler Servicing & Maintenance,20000210,BARKER & EVANS LTD,SME,WYKHAM MILL,VANTAGE BUSINESS PARK,BANBURY,OX16 9UX
C208,01/07/2009,31/12/2017,31/12/2013," 160,000.00 ",Facilities & Management Services,Community Services,Official Journal of the European Union,Printer Cartridges & Toners,20010534,XMA LIMITED,LGE,WILFORD INDUSTRIAL ESTATE,RUDDINGTON LANE,WILFORD,NG11 7EP
C237,01/05/2009,31/03/2018,30/04/2014," 300,000.00 ",Vehicle Management,Direct Services,Tender,Supply of Non Original Equipment Vehicle Parts,20002198,FRENCO SERVICE REPLACMNTS LTD,SME,UNIT 15 THORPE PLACE,OVERTHORPE INDUSTRIAL ESTATE,BANBURY,OX16 4XH
C250,06/10/2010,05/10/2017,01/01/2017, -   ,Environmental Services,Direct Services,Tender,Oxford City Council`s Materials Recycling Bulking & Transport Services and West Oxfordshire Materials Recycling Bulking & Transport Services,20007990,VIRIDOR WASTE MANAGEMENT,LGE,PO BOX 237,TAUNTON,SOMERSET,TA1 1QU
C275,01/03/2013,27/02/2018,01/08/2017," 220,000.00 ",Health & Safety,Business Improvement,Official Journal of the European Union,Provision of an Occupational Health Service,20017632,DURADIAMOND HEALTHCARE LTD,SME,MULLION HOUSE,ABERUTHVEN ENTERPRISE PARK,MAIDENPLAIN PLACE,PH3 1EL
C289,01/02/2013,30/06/2018,30/09/2016, -   ,Consultancy,Community Services,Official Journal of the European Union,Project Management of the Pavilions Refurbishment Programme,20015951,MACE LIMITED,LGE,155 MOORGATE,LONDON,,EC2M 6XB
C294,01/03/2013,28/02/2018,26/03/2018, -   ,Environmental Services,Direct Services,Official Journal of the European Union,Lease of Solar Powered compacting  bins with telemetric capability and Purchase and maintenance of Solar Powered compact bins with telemetric capability,20017679,KYRON ENERGY AND POWER LTD,SME,UNIT 8D TELECOMMUTE CENTRE,DUNSHAUGHLIN BUSINESS PARK,"DUNSHAUGHLIN, CO MEATH",
C296,11/03/2013,10/03/2018,01/09/2016, -   ,Information Communication Technology,Business Improvement,Request For Quotation,Provision of CRM software and professional licences,20017717,WORKBOOKS ONLINE LTD,SME,UNIT 9 SUTTONS PARK AVENUE,READING,BERKS,RG6 1AZ
C302,01/05/2013,14/07/2018,01/01/2018," 300,000.00 ",Information Communication Technology,Business Improvement,Official Journal of the European Union,Supply of Telephony Contact Centre Software,20017849,NETCALL TELECOM LTD,SME,"3RD FLOOR, HAMILTON HOUSE",111 MARLOWES,HEMEL HEMPSTEAD,HP1 1BB
C306,01/05/2013,30/04/2021,01/05/2018," 700,000.00 ",Consultancy,Housing & Property,Tender,Project Management of Tower Blocks,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C319,05/09/2013,13/02/2019,13/02/2017," 650,000.00 ",Consultancy,Housing & Property,Tender,DESIGN AND PROJECT MANAGEMENT CONSULTANCY TOWER BLOCKS REFURBISHMENT,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C324,01/10/2013,30/09/2018,01/01/2018," 51,250.00 ",Facilities & Management Services,Financial Services,Tender,Treasury Management Advisory Service,20015956,CAPITA TREASURY SOLUTIONS LTD,SME,40 DUKES PLACE,LONDON,,EC3A 7NH
C346,01/04/2014,31/03/2019,01/09/2018," 115,000.00 ",Facilities & Management Services,Community Services,Request For Quotation,Supply of CCTV Maintenance,20014935,COMPUTERISED & DIGITAL SECURITY SYSTEMS LTD,SME,PENBWCH ISAF FARM,PENYCOEDCAE ROAD,PONTYPRIDD,CF37 1PU
C347,01/04/2014,31/03/2018,26/06/2017," 97,000.00 ",No Summary Category,Business Improvement,,Resiliance Support for Revenues & Benefits Service,20010153,CIVICA UK LTD,LGE,CASTLEGATE HOUSE,CASTLEGATE DRIVE,DUDLEY,DY1 4TD
C349,06/08/2012,31/03/2018,01/04/2017," 400,000.00 ",Catering,Community Services,Official Journal of the European Union,Town Hall Cafe & Catering,20017894,OTHC LEMON ZEST,SME,UNIT 15 NETWORK 43,BUCKINGHAM COURT,BRACKLEY,NN13 7EU
C354,07/12/2013,06/12/2018,06/12/2017," 14,220,259.00 ",Construction,Housing & Property,Official Journal of the European Union,Construction of the Affordable Housing Programme,20000236,J B LEADBITTER & CO LTD,LGE,GRANGE COURT,ABINGDON SCIENCE PARK,ABINGDON,OX14 3NB
C355,01/09/2013,31/08/2018,01/01/2018, -   ,Consultancy,Housing & Property,Tender,Project Management of the Affordable Housing Programme,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C358,01/04/2014,31/03/2019,01/09/2018," 65,000.00 ",Information Communication Technology,Law & Governance,Request For Quotation,Election System Software,20013927,XPRESS SOFTWARE SOLUTIONS LTD,SME,303 SPERRY WAY,STONEHOUSE BUSINESS PARK,STONEHOUSE,GL10 3UT
C383,01/04/2014,31/03/2018,01/01/2017," 70,000.00 ",Financial Services,Financial Services,Request For Quotation,"Helpline, Training & VAT Audit Services",20013711,DELOITTE LLP,LGE,THE PINNACLE,150 MIDSUMMER BOULEVARD,MILTON KEYNES,MK9 1FD
C392,01/07/2014,30/06/2017,30/06/2015," 99,000.00 ",Consultancy,Housing & Property,Request For Quotation,Seacourt Park and Ride Consultancy,20018047,TURLEY ASSOCIATES,SME,1 NEW YORK STREET,MANCHESTER,,M1 4HD
C397,01/07/2014,30/06/2019,30/06/2019," 148,447.00 ",Information Communication Technology,Direct Services,Tender,Key2 Vehicle Management Solution,20018546,JAAMA LTD,SME,15 AMBER BUSINESS VILLAGE,AMINGTON,TAMWORTH,B77 4RP
C399,15/07/2014,15/07/2018,15/07/2018," 90,000.00 ",Information Communication Technology,Business Improvement,,Provision of Wi-Fi on Public Transport,20006596,OXFORD BUS COMPANY LTD,LGE,COWLEY HOUSE,WATLINGTON ROAD,OXFORD,OX4 6GA
C402,01/08/2014,31/07/2017,01/06/2017," 45,000.00 ",Human Resources,Financial Services,Request For Quotation,Supply of transcript services,20018575,COMPRIL LIMITED,SME,DENMARK HOUSE,169-173 STOCKTON STREET,MIDDLESBROUGH,TS2 1BY
C409,01/01/2006,31/12/2020,31/12/2020," 350,000.00 ",Legal Services,Law & Governance,Framework,Westgate Development Lawyers,20017253,BOND DICKINSON LLP,SME,ST ANN'S WHARF,112 QUAYSIDE,NEWCASTLE UPON TYNE,NE1 3DX
C424,01/08/2014,31/07/2018,31/07/2018, -   ,Vehicle Management,Business Improvement,Request For Quotation,Salary Sacrifice Cars,20018618,TUSKERDIRECT LTD,LGE,UNIT 7-9 BUILDING 2,MARLINS MEADOW,CROXLEY BUSINESS PARK,WD18 8YA
C425,01/05/2014,30/04/2018,30/04/2018," 254,943.52 ",Horticultural,Business Improvement,Official Journal of the European Union,iTrent Software,20007875,MIDLAND HR,LGE,RUDDINGTON HALL,RUDDINGTON,NOTTINGHAMSHIRE,NG11 6LL
C438,01/08/2014,31/07/2017,31/07/2016," 117,810.00 ",Arts & Leisure Services,Community Services,Tender,Provision of Christmas Lights,20018633,PIGGOTTS COMPANY LTD,SME,46 STEPFIELD,WITHAM,ESSEX,CM8 3TH
C440,01/10/2014,31/12/2019,01/01/2019," 150,000.00 ",Stationery,Community Services,Request For Quotation,Provision of Stationery Services,20007849,LYRECO UK LTD,LGE,DEER PARK COURT,DONNINGTON WOOD,TELFORD,TF2 7NB
C447,01/10/2014,30/09/2017,01/07/2017," 24,000.00 ",Furniture & Soft Furnishings,Community Services,Framework,Supply of Non Standard Office Furniture Framework,20016526,FLEXIFORM BUSINESS FURNITURE LTD,SME,1392 LEEDS ROAD,BRADFORD,WEST YORKSHIRE,BD3 7AE
